A_id,A_amount,A_valueDate,A_currencyCode,Risk_Exposure
523803080492.0,6567592109.0,2023-03-29,USD,6567592109.0
269983776851.0,-6567520960.0,2023-03-26,USD,6567520960.0
591802520689.0,6458077276.0,2023-03-26,USD,6458077276.0
814811366438.0,-6458053956.0,2023-03-25,USD,6458053956.0
672578737734.0,6131794705.0,2023-03-24,USD,6131794705.0
920785179562.0,-6131774266.0,2023-03-23,USD,6131774266.0
844838225896.0,5874420588.0,2023-04-27,USD,5874420588.0
476499207818.0,-5874399375.0,2023-04-26,USD,5874399375.0
597339046016.0,5658512900.0,2023-03-23,USD,5658512900.0
799672304692.0,-5658494039.0,2023-03-22,USD,5658494039.0
869725689263.0,-5637945721.0,2023-04-27,USD,5637945721.0
38453004007.0,5593339178.0,2023-05-03,USD,5593339178.0
402244076395.0,5433396800.0,2023-03-22,USD,5433396800.0
574710621872.0,-5433342471.0,2023-03-19,USD,5433342471.0
423459136837.0,5427123050.0,2023-04-22,USD,5427123050.0
442407541502.0,5368194270.0,2023-03-25,USD,5368194270.0
797310126674.0,-5368176377.0,2023-03-24,USD,5368176377.0
660601684221.0,5335214158.0,2023-05-04,USD,5335214158.0
415264208219.0,-5335197860.0,2023-05-03,USD,5335197860.0
442228732429.0,-5279453070.0,2023-04-29,USD,5279453070.0
551986491275.0,5266502467.0,2023-05-13,USD,5266502467.0
824887696993.0,-5266484913.0,2023-05-12,USD,5266484913.0
493191658327.0,4898048012.0,2023-04-26,USD,4898048012.0
176376185177.0,-4898009916.0,2023-04-22,USD,4898009916.0
446544070828.0,4772989790.0,2023-05-05,USD,4772989790.0
871339466572.0,-4772975210.0,2023-05-04,USD,4772975210.0
945364318398.0,4721944260.0,2023-03-05,USD,4721944260.0
746951582910.0,4667044944.0,2023-04-29,USD,4667044944.0
752475430886.0,4551642743.0,2023-03-31,USD,4551642743.0
576682986165.0,-4551627572.0,2023-03-30,USD,4551627572.0
205957919341.0,4484431410.0,2023-04-15,USD,4484431410.0
47745727961.0,-4484416463.0,2023-04-14,USD,4484416463.0
766248477423.0,4458512076.0,2023-05-12,USD,4458512076.0
680304297056.0,-4458497214.0,2023-05-11,USD,4458497214.0
964161484830.0,4424219616.0,2023-03-30,USD,4424219616.0
675708500824.0,-4424204869.0,2023-03-29,USD,4424204869.0
697757318626.0,4329569897.0,2023-05-11,USD,4329569897.0
182951504173.0,-4329512170.0,2023-05-07,USD,4329512170.0
962474257890.0,-4067445401.0,2023-04-20,USD,4067445401.0
900246108350.0,3995598935.0,2023-05-14,USD,3995598935.0
975108639828.0,-3995584510.0,2023-05-13,USD,3995584510.0
651923124982.0,3994235189.0,2023-05-07,USD,3994235189.0
646325805643.0,-3994222984.0,2023-05-06,USD,3994222984.0
28633810241.0,3967091942.0,2023-04-14,USD,3967091942.0
956641888653.0,3932000000.0,2023-03-11,USD,3932000000.0
166182308864.0,3825127774.0,2023-03-09,USD,3825127774.0
348132577717.0,-3825113961.0,2023-03-08,USD,3825113961.0
680996732670.0,3820754868.0,2023-05-06,USD,3820754868.0
155632677041.0,-3820743194.0,2023-05-05,USD,3820743194.0
719437690983.0,3749667951.0,2023-03-19,USD,3749667951.0
731911220766.0,-3749642953.0,2023-03-17,USD,3749642953.0
211176997710.0,3656715660.0,2023-04-20,USD,3656715660.0
879219007750.0,-3656703471.0,2023-04-19,USD,3656703471.0
989058043661.0,3344294440.0,2023-04-01,USD,3344294440.0
334634235338.0,-3344283290.0,2023-03-31,USD,3344283290.0
611402759246.0,3343207014.0,2023-03-15,USD,3343207014.0
386761253789.0,-3343173581.0,2023-03-12,USD,3343173581.0
617291585971.0,3334014216.0,2023-04-06,USD,3334014216.0
148129236256.0,-3334003100.0,2023-04-05,USD,3334003100.0
295387326146.0,3219808030.0,2023-03-11,USD,3219808030.0
387794364311.0,-3219797298.0,2023-03-10,USD,3219797298.0
174800035312.0,3155164800.0,2023-03-08,USD,3155164800.0
